0,20,492,22,0,165,0
0,29,640,25,1,165,0
0,29,401,52,1,170,1
0,27,577,35,0,170,1
0,31,727,37,0,167,0
0,28,391,30,2,162,2
0,31,231,75,1,175,0
0,32,354,65,1,175,3
0,23,261,55,1,167,0
0,33,412,70,1,162,1
0,48,426,32,1,170,0
0,28,334,26,2,175,0
0,15,318,26,2,177,0
0,37,1006,39,3,167,0
0,16,871,54,2,160,1
0,9,130,49,1,162,0
0,24,1096,48,1,160,1
0,36,716,27,1,160,0
0,12,604,58,0,167,1
0,14,1938,50,1,162,0
0,16,1399,50,1,162,0
0,8,1422,50,1,162,0
0,19,259,50,4,167,0
0,44,245,33,4,170,0
0,62,603,56,4,165,0
0,35,446,59,2,152,1
0,32,125,34,2,180,0
0,32,737,33,1,154,0
0,35,949,45,2,170,1
0,18,1335,45,5,167,0
0,20,359,32,1,162,0
0,19,234,28,2,170,2
0,38,795,28,2,175,0
0,13,236,49,4,162,1
0,20,492,22,0,165,0
0,24,564,34,6,175,0
0,27,453,40,2,162,0
0,35,949,45,2,170,1
0,18,1335,45,5,167,0
0,20,359,32,1,162,0
0,38,795,28,2,175,0
0,29,183,18,6,157,0
0,29,708,22,2,162,0
0,20,492,22,0,165,0
0,24,564,34,6,175,0
0,27,453,40,2,162,0
0,35,949,45,2,170,1
0,18,1335,45,5,167,0
0,20,359,32,1,162,0
0,38,795,28,2,175,0
0,26,607,39,2,154,1
0,25,357,47,1,157,0
0,38,171,39,1,165,0
0,21,591,44,1,167,1
0,24,310,25,5,160,0
0,32,256,50,1,162,0
0,27,387,35,2,182,0
0,20,492,22,0,165,0
0,24,564,34,6,175,0
0,35,949,45,2,170,1
0,18,1335,45,5,167,0
0,20,359,32,1,162,0
0,32,256,50,1,162,0
0,22,483,45,1,170,1
0,11,537,30,1,167,0
0,12,244,54,2,160,0
0,29,640,25,1,165,0
0,24,564,34,6,175,0
0,13,684,28,5,170,0
0,26,643,34,3,175,0
0,25,357,47,1,157,0
0,24,310,25,5,160,0
0,27,387,35,2,182,0
0,20,492,22,0,165,0
0,35,949,45,2,170,1
0,18,1335,45,5,167,0
0,20,359,32,1,162,0
0,21,1424,34,1,177,0
0,16,823,52,1,157,1
0,38,526,26,1,157,0
0,52,1393,31,2,175,0
0,16,262,48,4,160,0
0,32,256,50,1,162,0
0,22,483,45,1,170,1
0,11,537,30,1,167,0
0,12,244,54,2,160,0
0,24,564,34,6,175,0
0,13,684,28,5,170,0
0,26,643,34,3,175,0
0,25,357,47,1,157,0
